"survey_round","psu","lat","lon","pop","district","urban_rural","market","hh","agem","agec","sexc","k1","k3","k5"
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",14,19,13,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",16,29,12,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",18,19,6,2,1,2,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",12,34,15,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",10,18,8,2,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",8,40,8,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",6,23,17,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",4,28,20,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",2,31,13,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",1,18,5,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",3,21,2,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",5,32,16,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",7,22,9,1,1,2,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",9,29,14,1,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",11,24,12,2,1,2,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",13,18,18,2,2,NA,NA
"Baseline",2,6.063,-0.4647,585,"Suhum Kraboa Coaltar","Rural","Suhum",15,19,12,1,2,NA,NA
