id,spid,villid,hhs,a,b,c,d
1,1,1,70,0,0,0,0
2,1,2,68,0,0,0,0
3,1,3,69,0,0,0,0
4,1,4,48,0,0,0,0
5,1,5,54,0,0,0,0
6,1,6,170,1,0,1,0
7,2,1,74,1,0,1,0
8,2,2,119,0,0,0,0
9,2,3,72,1,0,1,0
10,2,4,70,0,0,0,0
11,2,5,52,0,0,0,0
12,2,6,57,0,0,0,0
13,3,1,35,0,0,0,0
14,3,2,114,0,0,0,0
15,3,3,26,0,0,0,0
16,3,4,120,0,0,0,0
17,3,5,80,2,1,1,0
18,3,6,43,0,0,0,0
19,4,1,88,1,0,1,0
20,4,2,67,0,0,0,0
21,4,3,83,0,0,0,0
22,4,4,55,1,0,1,0
23,4,5,107,0,0,0,0
24,4,6,52,1,0,1,0
25,5,1,96,0,0,0,0
26,5,2,41,1,0,1,0
27,5,3,75,0,0,0,0
28,5,4,54,0,0,0,0
29,5,5,60,0,0,0,0
30,5,6,104,2,0,2,0
31,6,1,60,0,0,0,0
32,6,2,54,0,0,0,0
33,6,3,53,0,0,0,0
34,6,4,54,0,0,0,0
35,6,5,65,0,0,0,0
36,6,6,53,0,0,0,0
37,7,1,56,0,0,0,0
38,7,2,66,0,0,0,0
39,7,3,54,1,0,1,0
40,7,4,59,0,0,0,0
41,7,5,52,0,0,0,0
42,7,6,56,0,0,0,0
43,8,1,100,0,0,0,0
44,8,2,117,0,0,0,0
45,8,3,129,0,0,0,0
46,8,4,96,0,0,0,0
47,8,5,142,1,1,0,0
48,8,6,126,2,0,2,0
49,9,1,33,0,0,0,0
50,9,2,71,0,0,0,0
51,9,3,80,0,0,0,0
52,9,4,70,0,0,0,0
53,9,5,53,0,0,0,0
54,9,6,60,0,0,0,0
55,10,1,49,0,0,0,0
56,10,2,70,0,0,0,0
57,10,3,58,0,0,0,0
58,10,4,41,0,0,0,0
59,10,5,54,0,0,0,0
60,10,6,64,0,0,0,0
61,11,1,40,0,0,0,0
62,11,2,120,0,0,0,0
63,11,3,95,0,0,0,0
64,11,4,52,0,0,0,0
65,11,5,73,0,0,0,0
66,11,6,100,3,0,3,0
67,12,1,60,1,0,1,0
68,12,2,95,0,0,0,1
69,12,3,36,0,0,0,0
70,12,4,90,1,0,1,0
71,12,5,92,0,0,0,1
72,12,6,40,2,1,1,0
73,13,1,48,2,2,0,0
74,13,2,60,1,0,1,1
75,13,3,32,2,0,2,0
76,13,4,36,1,0,1,0
77,13,5,140,0,0,0,0
78,13,6,150,2,0,2,0
79,14,1,43,0,0,0,1
80,14,2,30,0,0,0,0
81,14,3,55,0,0,0,0
82,14,4,108,0,0,0,0
83,14,5,150,1,0,1,0
84,14,6,65,0,0,0,0
85,15,1,60,0,0,0,0
86,15,2,47,0,0,0,0
87,15,3,57,0,0,0,0
88,15,4,49,0,0,0,0
89,15,5,68,1,1,0,0
90,15,6,51,0,0,0,0
91,16,1,88,1,0,1,0
92,16,2,87,1,0,1,0
93,16,3,89,1,0,1,0
94,16,4,73,0,0,0,0
95,16,5,79,0,0,0,0
96,16,6,84,0,0,0,0
97,17,1,58,0,0,0,0
98,17,2,65,0,0,0,0
99,17,3,54,0,0,0,1
100,17,4,86,1,0,1,0
101,17,5,62,0,0,0,0
102,17,6,77,0,0,0,0
103,18,1,48,0,0,0,0
104,18,2,48,0,0,0,0
105,18,3,48,1,0,1,0
106,18,4,99,0,0,0,0
107,18,5,55,0,0,0,0
108,18,6,41,0,0,0,0
109,19,1,76,0,0,0,0
110,19,2,55,0,0,0,0
111,19,3,78,0,0,0,0
112,19,4,64,0,0,0,0
113,19,5,58,0,0,0,0
114,19,6,104,0,0,0,0
115,20,1,67,0,0,0,0
116,20,2,56,0,0,0,0
117,20,3,59,0,0,0,0
118,20,4,64,0,0,0,0
119,20,5,73,0,0,0,0
120,20,6,49,0,0,0,0
121,21,1,81,0,0,0,0
122,21,2,70,0,0,0,0
123,21,3,200,0,0,0,0
124,21,4,66,0,0,0,0
125,21,5,61,0,0,0,0
126,21,6,85,0,0,0,0
127,22,1,72,0,0,0,0
128,22,2,41,0,0,0,0
129,22,3,55,0,0,0,0
130,22,4,60,0,0,0,0
131,22,5,54,0,0,0,0
132,22,6,33,0,0,0,0
133,23,1,35,0,0,0,0
134,23,2,52,1,0,1,0
135,23,3,52,0,0,0,0
136,23,4,55,0,0,0,0
137,23,5,53,0,0,0,0
138,23,6,60,0,0,0,0
139,25,1,77,0,0,0,0
140,25,2,64,0,0,0,0
141,25,3,98,0,0,0,0
142,25,4,40,0,0,0,0
143,25,5,40,0,0,0,0
144,25,6,52,0,0,0,0
145,26,1,43,0,0,0,0
146,26,2,50,1,0,1,0
147,26,3,65,0,0,0,1
148,26,4,54,0,0,0,0
149,26,5,49,0,0,0,0
150,26,6,32,0,0,0,0
151,27,1,68,0,0,0,0
152,27,2,52,1,1,0,0
153,27,3,47,0,0,0,0
154,27,4,84,0,0,0,0
155,27,5,62,0,0,0,0
